Id,SalePrice
1461,119029.617029
1462,153015.592958
1463,180982.038483
1464,197887.45765
1465,200281.92061
1466,166875.579731
1467,178258.083761
1468,160941.172064
1469,189780.818095
1470,121703.847905
1471,178883.275704
1472,97028.8687469
1473,94187.2316277
1474,142903.593317
1475,105564.321793
1476,357390.134094
1477,246990.169548
1478,302196.830771
1479,299930.470047
1480,468427.956477
1481,338044.800357
1482,214807.095886
1483,180400.591592
1484,163991.366249
1485,201270.010501
1486,192693.168133
1487,345775.540709
1488,238806.915496
1489,189139.225791
1490,244818.52077
1491,196755.432519
1492,92637.866946
1493,187987.389291
1494,302028.604593
1495,290587.265673
1496,236319.925333
1497,176378.493542
1498,181408.286359
1499,170610.635136
1500,158016.790324
1501,172586.029374
1502,145714.339238
1503,293129.855571
1504,242982.556959
1505,227532.41826
1506,186394.92475
1507,236447.706288
1508,203486.798479
1509,160396.61999
1510,145300.241152
1511,158130.912167
1512,173550.905108
1513,149643.13533
1514,157136.24284
1515,186623.525234
1516,155548.710989
1517,168797.783383
1518,130660.231572
1519,207691.995459
1520,127860.94487
1521,129310.4924
1522,175451.683149
1523,109946.543611
1524,123890.226341
1525,118225.300936
1526,109123.031713
1527,106926.746648
1528,134703.904874
1529,154375.623478
1530,192800.362331
1531,109289.292248
1532,98882.0626989
1533,144571.127548
1534,127298.257503
1535,143510.041226
1536,107549.966379
1537,59238.1760951
1538,152582.442223
1539,189725.68207
1540,92771.1283589
1541,139289.553216
1542,138156.19988
1543,175035.947704
1544,89452.2023497
1545,117433.225387
1546,142161.460665
1547,133301.37158
1548,139463.258165
1549,120736.860984
1550,138509.076784
1551,107109.855767
1552,135027.171442
1553,142454.925192
1554,116276.234785
1555,161087.551084
1556,87307.9775469
1557,106538.762775
1558,106141.246024
1559,68879.3055411
1560,130847.637856
1561,119485.765189
1562,131086.570107
1563,118681.098405
1564,153807.962818
1565,153832.236956
1566,237632.299194
1567,78305.5744965
1568,246717.500489
1569,130732.981442
1570,139378.832755
1571,112695.411846
1572,136702.992193
1573,222387.735879
1574,116840.364712
1575,237071.289493
1576,247249.901875
1577,177478.249322
1578,148558.760585
1579,149171.425814
1580,198397.830304
1581,156393.083253
1582,127212.85087
1583,282282.059202
1584,215114.593071
1585,135895.435187
1586,68939.156673
1587,111239.573446
1588,150300.211783
1589,97035.5065775
1590,128740.334545
1591,91139.216521
1592,114114.393472
1593,133636.212361
1594,120304.225713
1595,105910.163841
1596,209695.469229
1597,201768.910242
1598,231409.240079
1599,172399.834353
1600,165974.533646
1601,65914.1331478
1602,115458.653016
1603,76207.322728
1604,258980.703083
1605,240913.740207
1606,166531.271577
1607,177234.958616
1608,221031.762034
1609,180674.821308
1610,153035.688829
1611,135386.420778
1612,170736.255082
1613,163880.520954
1614,126737.540461
1615,92071.8552292
1616,78500.676895
1617,93025.6476224
1618,131146.127451
1619,142639.388673
1620,149427.989894
1621,131800.363319
1622,145962.001181
1623,259506.961243
1624,208830.415523
1625,117653.819436
1626,173724.526125
1627,194748.329696
1628,278357.677101
1629,185469.226853
1630,325792.808211
1631,224652.428912
1632,240379.665749
1633,182282.407083
1634,186968.941371
1635,172599.192738
1636,152681.136164
1637,196009.191019
1638,177145.62879
1639,186873.401113
1640,246805.238092
1641,180747.044128
1642,250176.925169
1643,216161.740923
1644,246818.20209
1645,193449.876329
1646,161502.502518
1647,162359.099659
1648,127931.270568
1649,142967.048949
1650,114943.8429
1651,119417.822613
1652,98125.7476856
1653,100344.797124
1654,143798.672166
1655,129677.19507
1656,140724.18737
1657,148162.084449
1658,148379.127036
